Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
#1011,gshubham533@gmail.com,paid,2021-10-04 13:09:45 +0530,unfulfilled,,no,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-10-04 13:09:44 +0530,1,T Shirt - M,500.00,,KR_T1,true,true,pending,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,,"",,(for testing) Bogus Gateway,c29167820538083.1,0.00,kwiqreply,4320590332131,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,,,,Maharashtra,Maharashtra,c29167820538083.1,,,c29167820538083.1
#1012,gshubham533@gmail.com,paid,2021-10-04 13:11:48 +0530,unfulfilled,,no,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-10-04 13:11:47 +0530,1,T Shirt - x,500.00,,KR_T2,true,true,pending,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,,"",,(for testing) Bogus Gateway,c29167820865763.1,0.00,kwiqreply,4320590364899,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,,,,Maharashtra,Maharashtra,c29167820865763.1,,,c29167820865763.1
#1013,gshubham533@gmail.com,paid,2021-10-04 13:20:35 +0530,unfulfilled,,no,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-10-04 13:20:34 +0530,1,T Shirt - x,500.00,,KR_T2,true,true,pending,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,,"",,(for testing) Bogus Gateway,c29167822373091.1,0.00,kwiqreply,4320590561507,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,,,,Maharashtra,Maharashtra,c29167822373091.1,,,c29167822373091.1
#1014,gshubham533@gmail.com,paid,2021-10-04 13:21:55 +0530,unfulfilled,,no,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-10-04 13:21:54 +0530,1,T Shirt - xl,500.00,,KR_T3,true,true,pending,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,,"",,(for testing) Bogus Gateway,c29167822635235.1,0.00,kwiqreply,4320590659811,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,,,,Maharashtra,Maharashtra,c29167822635235.1,,,c29167822635235.1
#1015,gshubham533@gmail.com,paid,2021-10-04 13:23:15 +0530,unfulfilled,,no,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-10-04 13:23:14 +0530,1,T Shirt - xl,500.00,,KR_T3,true,true,pending,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,,"",,(for testing) Bogus Gateway,c29167822831843.1,0.00,kwiqreply,4320590758115,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,,,,Maharashtra,Maharashtra,c29167822831843.1,,,c29167822831843.1
#1016,gshubham533@gmail.com,paid,2021-10-04 16:18:06 +0530,unfulfilled,,no,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-10-04 16:18:05 +0530,1,T Shirt - xxl,500.00,,KR_T4,true,true,pending,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,,"",,(for testing) Bogus Gateway,c29167850750179.3,0.00,kwiqreply,4320596590819,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,,,,Maharashtra,Maharashtra,c29167850750179.3,,,c29167850750179.1 + c29167850750179.2 + c29167850750179.3
#1017,gshubham533@gmail.com,paid,2021-10-04 16:20:00 +0530,unfulfilled,,no,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-10-04 16:19:59 +0530,1,T Shirt - M,500.00,,KR_T1,true,true,pending,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,,"",,(for testing) Bogus Gateway,c29167851077859.1,0.00,kwiqreply,4320596689123,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,,,,Maharashtra,Maharashtra,c29167851077859.1,,,c29167851077859.1
#1018,,paid,2021-10-04 17:07:39 +0530,unfulfilled,,no,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-10-04 17:07:38 +0530,1,T Shirt - M,500.00,,KR_T1,true,true,pending,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,,"",,(for testing) Bogus Gateway,c29167857991907.1,0.00,kwiqreply,4320598098147,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,+918208901203,,,Maharashtra,Maharashtra,c29167857991907.1,,,c29167857991907.1
#1019,,paid,2021-10-04 17:20:02 +0530,unfulfilled,,no,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-10-04 17:20:01 +0530,1,T Shirt - M,500.00,,KR_T1,true,true,pending,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,,"",,(for testing) Bogus Gateway,c29167860416739.1,0.00,kwiqreply,4320598556899,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,+918208901203,,,Maharashtra,Maharashtra,c29167860416739.1,,,c29167860416739.1
#1020,,paid,2021-10-04 17:25:20 +0530,unfulfilled,,no,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-10-04 17:25:19 +0530,1,T Shirt - M,500.00,,KR_T1,true,true,pending,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,,"",,(for testing) Bogus Gateway,c29167861629155.1,0.00,kwiqreply,4320598851811,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,+918208901203,,,Maharashtra,Maharashtra,c29167861629155.1,,,c29167861629155.1
#1021,gshubham533@gmail.com,paid,2021-10-04 17:32:41 +0530,unfulfilled,,no,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-10-04 17:32:40 +0530,1,T Shirt - M,500.00,,KR_T1,true,true,pending,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,,"",,(for testing) Bogus Gateway,c29167862939875.1,0.00,kwiqreply,4320599212259,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,,,,Maharashtra,Maharashtra,c29167862939875.1,,,c29167862939875.1
#1022,gshubham533@gmail.com,paid,2021-10-04 17:49:57 +0530,unfulfilled,,no,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-10-04 17:49:56 +0530,1,T Shirt - M,500.00,,KR_T1,true,true,pending,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,,"",,(for testing) Bogus Gateway,c29167867003107.1,0.00,kwiqreply,4320599703779,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,,,,Maharashtra,Maharashtra,c29167867003107.1,,,c29167867003107.1
#1023,gshubham533@gmail.com,paid,2021-10-04 18:11:59 +0530,unfulfilled,,no,INR,500.00,0.00,90.00,590.00,"",0.00,Standard,2021-10-04 18:11:58 +0530,1,T Shirt - M,500.00,,KR_T1,true,true,pending,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,Shubham Gupta,"Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune","Sr. No. 45/4B house No. 236, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune, Near samrat sports club chandan nagar pune",Near samrat sports club chandan nagar pune,,pune,'411014,MH,IN,,,"",,(for testing) Bogus Gateway,c29167871394019.1,0.00,kwiqreply,4320600621283,"",Low,web,0.00,IGST 18%,90.00,,,,,,,,,,,,Maharashtra,Maharashtra,c29167871394019.1,,,c29167871394019.1
